코드,품명,견적가격,물가자료,물가정보,품목순위
47301127382,용접식 관이음쇠,"1,922.00","2,670.00","2,780.00",12월 22일
47301127383,용접식 관이음쇠,"3,010.00","4,180.00","4,350.00",18/37
47301127384,용접식 관이음쇠,"4,594.00","6,380.00","6,650.00",04월 24일
47301127386,용접식 관이음쇠,"10,714.00","14,880.00","15,510.00",27/33
47301127401,용접식 관이음쇠,"1,195.00","1,680.00","1,660.00",30/31
47301127402,용접식 관이음쇠,"1,303.00","1,820.00","1,810.00",10월 27일
47301127403,용접식 관이음쇠,"2,045.00","2,870.00","2,840.00",14/25
47301127404,용접식 관이음쇠,"3,096.00","4,340.00","4,300.00",11/39
47301127705,용접식 관이음쇠,"7,780.00","6,680.00","6,880.00",10/34
47303007006,콤파운드,"11,760.00","22,000.00","21,100.00",3/38
47303007007,코킹콤파운드,"26,300.00","22,000.00","25,300.00",17/31
47303107001,광명단(KSM6030),"6,010.00","9,250.00","8,767.00",15/27
47303107002,조합페인트(KSM6020),"5,330.00","6,675.00","5,797.00",26/31
47303107022,신너,"1,780.00","3,550.00","3,583.00",11/33
47304017001,나사식 강관제 관이음쇠,425,520,710,16/27
47304017005,나사식 강관제 관이음쇠,"1,793.00","2,180.00","2,980.00",15/32
47304017031,나사식 강관제 관이음쇠,403,480,650,23/29
47304017032,나사식 강관제 관이음쇠,583,710,970,18/24
47304017033,나사식 강관제 관이음쇠,929,"1,130.00","1,550.00",07월 26일
47304017034,나사식 강관제 관이음쇠,"1,397.00","1,700.00","2,330.00",12월 27일
47304017035,나사식 강관제 관이음쇠,"1,656.00","2,010.00","2,770.00",24/38
47304017036,나사식 강관제 관이음쇠,"2,592.00","3,140.00","4,340.00",21/39
47304017132,나사식 강관제 관이음쇠,850,"1,040.00","1,420.00",01월 30일
47304017133,나사식 강관제 관이음쇠,"1,289.00","1,570.00","2,160.00",8/34
47304017134,나사식 강관제 관이음쇠,"1,735.00","2,110.00","2,900.00",20/31
47304017135,나사식 강관제 관이음쇠,"2,326.00","2,820.00","3,890.00",13/38
47304017136,나사식 강관제 관이음쇠,"3,377.00","4,100.00","5,640.00",8/37
47304017232,나사식 강관제 관이음쇠,530,530,730,14/26
47304017235,나사식 강관제 관이음쇠,"1,440.00","1,340.00","1,830.00",17/21
47304017236,나사식 강관제 관이음쇠,"2,520.00","2,120.00","2,920.00",24/24
47304017301,나사식 강관제 관이음쇠,569,690,950,02월 20일
47304017305,나사식 강관제 관이음쇠,"1,670.00","2,030.00","2,790.00",11월 21일
47304017331,나사식 강관제 관이음쇠,446,540,740,9/33
47304017332,나사식 강관제 관이음쇠,518,630,870,13/26
47304017333,나사식 강관제 관이음쇠,742,900,"1,240.00",18/21
47304017334,나사식 강관제 관이음쇠,943,"1,150.00","1,580.00",09월 24일
47304017335,나사식 강관제 관이음쇠,"1,354.00","1,640.00","2,270.00",5/37
47304017336,나사식 강관제 관이음쇠,"1,613.00","1,960.00","2,700.00",23/27
47304017405,나사식 강관제 관이음쇠,"5,256.00","6,380.00","8,790.00",11/35
47304017432,나사식 강관제 관이음쇠,"1,836.00","2,230.00","3,070.00",07월 27일
47304017433,나사식 강관제 관이음쇠,"2,578.00","3,130.00","4,310.00",15/27
47304017434,나사식 강관제 관이음쇠,"3,254.00","3,950.00","5,450.00",26/26
47304017435,나사식 강관제 관이음쇠,"4,205.00","5,110.00","7,040.00",6/31
47304017436,나사식 강관제 관이음쇠,"5,407.00","6,560.00","9,050.00",22/30
47304017501,나사식 강관제 관이음쇠,468,560,780,16/22
47304017531,나사식 강관제 관이음쇠,374,450,620,18/33
47304017533,나사식 강관제 관이음쇠,720,880,"1,200.00",21/31
47304017701,나사식 강관제 관이음쇠,511,620,860,04월 20일
47304017731,나사식 강관제 관이음쇠,410,500,690,4/39
47304017834,나사식 강관제 관이음쇠,842,"1,020.00","1,410.00",30/39
47305257103,플랜지(FLANGE),"2,800.00","3,500.00","3,420.00",08월 20일
47305257105,플랜지(FLANGE),"3,840.00","4,770.00","4,680.00",21/24
47305257106,플랜지(FLANGE),"4,160.00","5,720.00","5,070.00",16/20
47305257107,플랜지(FLANGE),"5,760.00","7,940.00","7,030.00",12월 26일
47305257108,플랜지(FLANGE),"5,940.00","8,370.00","7,240.00",16/25
47305257109,플랜지(FLANGE),"6,640.00","9,380.00","8,100.00",19/33
47305257110,플랜지(FLANGE),"10,000.00","14,320.00","12,210.00",31/35
47305257111,플랜지(FLANGE),"13,300.00","19,070.00","16,260.00",08월 30일
47305257112,플랜지(FLANGE),"15,800.00","22,570.00","19,250.00",03월 30일
47305257202,플랜지(FLANGE),"24,340.00","42,050.00","36,690.00",2/32
47305257404,플랜지(FLANGE),"9,050.00","16,200.00","11,600.00",05월 27일
47305257405,플랜지(FLANGE),"9,610.00","17,400.00","12,320.00",4/35
47305257407,플랜지(FLANGE),"15,290.00","28,600.00","19,600.00",11월 21일
47305257408,플랜지(FLANGE),"16,410.00","29,800.00","21,040.00",6/32
47305257412,플랜지(FLANGE),"48,050.00","86,100.00","61,600.00",17/30
47305257438,플랜지(FLANGE),"24,930.00","32,000.00","30,400.00",19/28
47305257759,플랜지(FLANGE),"4,050.00","4,349.00","5,002.00",03월 24일
47305257760,플랜지(FLANGE),"4,770.00","5,085.00","6,001.00",08월 30일
47305257761,플랜지(FLANGE),"6,210.00","6,574.00","7,730.00",25/40
47305257762,플랜지(FLANGE),"7,610.00","8,034.00","9,550.00",32/38
47305257763,플랜지(FLANGE),"9,130.00","9,649.00","11,349.00",3/40
47305267001,코너플레이트,700,800,600,8/36
48100097001,전자 밸브,"112,400.00","116,500.00","128,000.00",09월 24일
48200037102,글로브 밸브,"11,530.00","14,420.00","14,560.00",12/32
48200037103,글로브 밸브,"16,400.00","20,520.00","20,730.00",15/38
48200037104,글로브 밸브,"24,800.00","31,020.00","31,330.00",03월 29일
48200037105,글로브 밸브,"31,900.00","39,910.00","40,300.00",26/30
48200037106,글로브 밸브,"48,000.00","60,120.00","60,710.00",14/20
48200037202,글로브 밸브,"86,630.00","104,300.00","95,200.00",35/40
48200037203,글로브 밸브,"112,620.00","129,800.00","123,760.00",28/36
48200037204,글로브 밸브,"156,970.00","172,500.00","174,080.00",24/38
48200037205,글로브 밸브,"235,500.00","258,800.00","263,840.00",09월 28일
48200037206,글로브 밸브,"335,790.00","369,000.00","374,000.00",02월 25일
48200037207,글로브 밸브,"548,730.00","603,000.00","610,640.00",28/28
48200067007,벨로즈형스톱밸브(300˚ C용),"773,000.00","839,200.00","929,000.00",22/28
48200067010,벨로즈형스톱밸브(300˚ C용),"3,880,800.00","3,389,100.00","3,319,000.00",03월 24일
48200127024,플로우트 밸브,"25,950.00","23,350.00","32,440.00",27/31
48200137052,버터플라이 밸브,"65,200.00","179,900.00","179,900.00",12월 28일
48200137053,버터플라이 밸브,"72,000.00","196,100.00","196,100.00",15/27
48200137153,버터플라이 밸브,"112,000.00","213,700.00","313,700.00",2/39
48200137154,버터플라이 밸브,"132,000.00","367,200.00","367,200.00",12/33
48200137155,버터플라이 밸브,"160,000.00","425,700.00","425,700.00",03월 29일
48200137157,버터플라이 밸브,"296,000.00","817,300.00","817,300.00",14/26
48200147101,볼 밸브,"2,900.00","3,870.00","4,620.00",3/32
48200147103,볼 밸브,"6,750.00","9,000.00","11,220.00",24/34
48200147104,볼 밸브,"10,740.00","14,320.00","17,000.00",29/29
48200147105,볼 밸브,"15,600.00","20,900.00","25,160.00",16/40
48200147106,볼 밸브,"22,500.00","30,010.00","37,190.00",23/27
48200167101,게이트 밸브,"8,800.00","11,030.00","11,050.00",6/32
48200167102,게이트 밸브,"12,000.00","15,110.00","15,140.00",14/32
48200167103,게이트 밸브,"17,300.00","21,670.00","21,710.00",6/34
48200167104,게이트 밸브,"24,600.00","30,810.00","30,870.00",32/37
48200167105,게이트 밸브,"32,800.00","41,000.00","41,080.00",20/24
48200167106,게이트 밸브,"49,000.00","61,250.00","61,360.00",06월 23일
48200167202,게이트 밸브,"68,710.00","81,800.00","90,440.00",14/21
48200167203,게이트 밸브,"83,850.00","97,500.00","105,400.00",04월 23일
48200167204,게이트 밸브,"125,810.00","146,300.00","159,800.00",18/32
48200167205,게이트 밸브,"160,650.00","189,000.00","208,760.00",24/38
48200167207,게이트 밸브,"388,080.00","441,000.00","445,400.00",19/29
48200237203,감압 밸브,"236,600.00","272,000.00","290,300.00",09월 20일
48200237421,감압 밸브 (사코),"7,747,900.00","7,507,000.00","7,507,000.00",12월 23일
48200257001,공기 밸브,"184,600.00","169,100.00","187,000.00",14/26
48200257021,공기 밸브,"40,900.00","48,200.00","183,000.00",24/28
48200297001,안전 밸브,"60,000.00","78,000.00","72,900.00",10/35
48200297403,안전 밸브,"1,221,900.00","1,226,000.00","1,226,000.00",24/36
48200297405,안전 밸브,"1,580,000.00","1,806,000.00","1,806,000.00",13/26
48200427104,체크 밸브,"19,100.00","25,550.00","25,800.00",18/22
48200428308,체크 밸브,"62,700.00","57,600.00","106,080.00",08월 31일
48200428312,체크 밸브,"341,830.00","286,730.00","542,640.00",24/32
53060037133,볼트너트,44,44,42,25/31
53060037134,볼트너트,77,77,75,13/23
53060037137,볼트너트,290,290,275,02월 25일
53060037138,볼트너트,301,301,285,09월 22일
53060037139,볼트너트,312,312,296,06월 24일
53060037140,볼트너트,665,565,543,31/31
53060037141,볼트너트,483,583,570,29/38
53060037148,스테인리스 볼트너트,"1,186.00","1,286.00",894,08월 26일
53060037149,스테인리스 볼트너트,"1,086.00","1,286.00",933,24/31
53060037151,스테인리스 볼트너트,"2,366.00","2,466.00","1,792.00",9/40
53060228321,U자형볼트/너트,411,411,511,14/22
53060228323,U자형볼트/너트,713,713,613,24/38
53060228324,U자형볼트/너트,551,651,651,13/27
53060228325,U자형볼트/너트,802,802,702,21/21
53060228326,U자형볼트/너트,791,691,791,10월 28일
53060228327,U자형볼트/너트,"1,122.00","1,222.00","1,022.00",10/34
53060228328,U자형볼트/너트,"1,011.00","1,111.00","1,111.00",24/36
53060228337,U자형볼트/너트,275,275,263,14/30
53060228339,U자형볼트/너트,340,340,312,2/30
53060228342,U자형볼트/너트,989,"1,089.00","1,076.00",03월 30일
53060228344,U자형볼트/너트,"2,143.00","1,843.00","1,724.00",22/40
53060357000,동리벳,14,14,14,17/30
53060807023,스트롱앵커,100,100,100,24/34
53100027801,6각너트,25,25,21,15/23
53100287011,평와샤,34,34,27,04월 24일
53100287015,평와샤,47,47,39,14/27
53100287110,평와샤,73,73,67,09월 27일
53100287113,평와샤,102,102,101,29/31
53300197241,패킹,260,260,260,29/37
53300197243,패킹,280,280,280,12월 27일
53300197245,패킹,340,340,340,04월 24일
53300197247,패킹,420,420,420,10월 20일
53300197249,패킹,610,710,510,16/21
53300197251,패킹,600,700,600,5/38
53300197253,패킹,590,690,690,15/38
53300197255,패킹,800,900,800,04월 26일
53300197257,패킹,740,640,840,03월 29일
53300197259,패킹,830,830,"1,030.00",12월 22일
53300337041,보루지,364,364,364,32/39
53300337053,슈퍼매직 303,"1,100.00","1,000.00","1,280.00",4/39
53300337061,AL 밴드,300,300,360,08월 26일
53300527204,패킹재,440,440,440,26/40
53300527218,스텐밴드,"1,250.00","1,470.00","1,470.00",5/33
53300527219,스텐밴드,"1,530.00","1,800.00","1,800.00",05월 27일
53300527234,동망,"18,766.00","16,666.00","14,566.00",13/26
56102007001,공통자재,87,117,117,16/34
56400787092,유리면매트,"2,808.00","3,120.00","3,276.00",15/40
56810021007,내화충진재,0,0,0,22/29
56810021008,내화충진재,0,0,0,19/28
56810021012,내화충진재,0,0,0,13/28
56810021107,"내화충진재(강관,입상용)",0,0,0,23/35
56810021108,"내화충진재(강관,입상용)",0,0,0,08월 25일
56810023005,내화충진재(덕트용),0,0,0,26/28
56900017015,노무비,0,0,0,03월 20일
56900017019,노무비,0,0,0,05월 24일
56900017021,노무비,0,0,0,18/31
56900017030,노무비,0,0,0,27/37
56900017038,노무비,0,0,0,20/23
56900017041,노무비,0,0,0,5/33
56900017056,노무비,0,0,0,16/39
56900017101,노무비,0,0,0,24/39
56900017118,노무비,0,0,0,14/36
66403487022,게이지콕크,"2,430.00","2,730.00","2,830.00",12/33
66850037003,온도계,"33,150.00","28,450.00","35,680.00",11/34
66850047013,압력계,"4,500.00","4,500.00","5,890.00",06월 20일
68300057015,산소 가스,2,3,3,09월 27일
68300067001,아세틸렌 가스,"10,652.00","11,500.00","13,000.00",12월 24일
68300067021,아세틸렌 가스,13,13,15,28/29
68300117001,아르곤 가스,7,7,5,17/28
81350757029,은박 LAMI,600,500,700,20/20
81350757030,후렌지보온재,450,450,450,6/36
81350757031,점착비,0,0,0,08월 23일
81350757032,AL 밴드,360,360,360,22/33
81350757036,아티론보온재(폴레에칠렌),"9,300.00","10,800.00","9,000.00",15/30
95100407017,환봉(SS41),900,"1,000.00","1,210.00",16/37
95150127405,아연도강판,"4,050.00","4,349.00","5,002.00",22/39
95150127406,아연도강판,"4,770.00","5,085.00","6,001.00",04월 27일
95150127407,아연도강판,"6,210.00","6,574.00","7,730.00",21/33
95150127408,아연도강판,"7,610.00","8,034.00","9,550.00",21/23
95150127409,아연도강판,"9,130.00","9,649.00","11,349.00",06월 21일
95150507064,열연강판,930,830,862,17/39
95151347020,착색아연도강판,"4,214.00","5,014.00","6,214.00",07월 21일
95200017301,ㄷ형강,757,820,840,30/30
95200027011,ㄱ형강,757,820,875,12월 20일
MM830640933,CH1 CHILLER(SCREW),0,0,0,27/40
MM830640934,CT1 COOLING TOWER(직교류형),"22,018,900.00","25,520,200.00","18,550,000.00",13/36
MM830640935,P1냉각수순환펌프(인라인),"6,324,000.00","5,186,200.00","6,738,000.00",09월 22일
MM830640936,P2냉수순환펌프(인라인),"4,301,900.00","3,943,200.00","4,494,000.00",24/26
MM830642136,TCU1 TEMPERATURE CHAMBER UNIT,0,0,0,17/22
MM830642201,CDU1 CONDENSING UNIT,0,0,0,21/28
MM830642263,HB1 HEPA FILTER BOX(SCP),0,0,0,18/22
MM830642264,HB2 HEPA FILTER BOX(SCP),0,0,0,11/40
MM830642439,BFU1 BLOWER FILTER UNIT(SCP),0,0,0,13/32
MM830642440,BFU2 BLOWER FILTER UNIT(SCP),0,0,0,3/40
MM830642504,AS1 AIR SHOWER(STS304),0,0,0,08월 25일
MM830642505,AS2 AIR SHOWER(STS304),0,0,0,10/40
MM830642620,RD1 RELIEF DAMPER(WALLMOUNTED),0,0,0,19/35
MM830642621,RD2 RELIEF DAMPER(WALLMOUNTED),0,0,0,09월 30일
MM830642622,RD3 RELIEF DAMPER(WALLMOUNTED),0,0,0,11월 23일
MM830642660,AHU1A AIR HANDLING UNIT,0,0,0,28/31
MM830642661,AHU1B AIR HANDLING UNIT,0,0,0,16/21
MM830642662,AHU2A AIR HANDLING UNIT,0,0,0,34/34
MM830642663,AHU2B AIR HANDLING UNIT,0,0,0,07월 20일
MM830642664,AHU3 AIR HANDLING UNIT,0,0,0,09월 23일
MM830642865,CS1스막룸용신발장(STS1.5T),0,0,0,6/32
MM830642874,"T1응축수탱크(1,000LIT)",0,0,0,12월 21일
MM830642875,T2팽창탱크(100LIT),"936,500.00","928,800.00","1,150,000.00",13/26
MM830642876,T3냉수공급헤더,0,0,0,28/37
MM830642877,T4냉수환수헤더,0,0,0,25/31
MM830642878,T5증기공급헤더,0,0,0,18/20
MM830642895,CC1스막룸용신발장(STS1.5T),0,0,0,18/20
MM830642896,CC2스막룸용신발장(STS1.5T),0,0,0,16/23
MM830707855,F.D (STL),"67,000.00","61,500.00","60,000.00",5/37
MM830707856,F.D (STL),"74,800.00","68,600.00","90,000.00",9/35
MM830707857,F.D (STL),"221,400.00","215,000.00","210,000.00",10월 31일
MM830707858,F.D (STL),"169,700.00","155,000.00","189,000.00",05월 21일
MM830707860,F.D (STL),"315,400.00","377,400.00","360,000.00",07월 27일
MM830707861,GRILLE (STL),"193,300.00","220,800.00","192,000.00",19/27
MM830707862,T.V (STL),"140,800.00","138,800.00","126,000.00",2/33
MM830707863,T.V (STL),"387,600.00","378,300.00","360,000.00",11월 21일
MM830707864,V.D (STL),"96,300.00","109,600.00","82,500.00",16/25
MM830707865,V.D (STL),"83,100.00","98,200.00","90,000.00",22/23
MM830707866,V.D (STL),"90,500.00","95,300.00","90,000.00",25/34
MM830707867,V.D (STL),"115,800.00","100,000.00","99,000.00",02월 26일
MM830707868,V.D (STL),"105,100.00","90,300.00","117,000.00",05월 30일
MM830707869,V.D (STL),"133,750.00","107,850.00","126,750.00",28/40
MM830707870,V.D (STL),"150,600.00","178,100.00","157,500.00",19/34
MM830707871,V.D (STL),"22,000.00","21,900.00","20,000.00",17/29
MM830707872,V.D (STL),"18,200.00","19,900.00","20,000.00",07월 26일
MM830707873,V.D (STL),"18,700.00","20,600.00","20,000.00",18/27
MM830707874,V.D (STL),"17,600.00","20,600.00","20,000.00",15/36
MM830707875,V.D (STL),"17,900.00","18,700.00","21,000.00",34/40
MM830707876,V.D (STL),"25,400.00","27,400.00","24,000.00",13/31
MM830707877,V.D (STL),"25,325.00","20,425.00","23,625.00",23/26
